,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,InternetService_Fiber optic,InternetService_No,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_One year,Contract_Two year,Churn
2729,0,0,0,2,1,1,0,0,0,0,0,1,1,85.7,169.8,0,1,0,0,0,1,0,0,0,1
631,0,1,0,46,1,1,1,0,0,0,0,0,0,55.0,2473.95,0,0,0,1,0,0,0,0,0,0
6028,0,1,0,12,1,0,1,0,0,1,0,0,0,80.85,866.45,1,1,0,1,0,0,0,0,0,1
5695,0,1,0,72,1,1,1,0,0,0,0,0,0,80.45,5737.6,0,1,0,1,0,0,0,0,1,0
4035,0,1,1,52,1,1,0,1,0,1,0,1,1,93.25,4631.7,1,1,0,1,0,0,0,0,0,0
5071,0,1,0,1,1,0,0,0,1,0,0,0,0,75.35,75.35,1,1,0,0,1,0,0,0,0,0
5384,0,0,0,4,1,1,0,0,0,1,1,0,1,64.4,253.0,0,0,0,0,0,0,1,0,0,0
4562,0,1,1,71,1,1,1,1,1,1,1,1,0,114.6,8100.25,0,1,0,1,0,0,0,0,1,0
822,0,0,0,47,1,1,0,1,1,0,1,1,1,103.1,4889.3,1,1,0,0,0,1,0,1,0,0
2085,1,1,0,32,1,1,0,0,0,0,1,1,1,93.2,2931.0,0,1,0,0,0,1,0,0,0,1
6123,0,0,0,65,1,1,1,0,0,1,0,1,0,93.55,6069.25,1,1,0,0,0,1,0,1,0,0
4899,0,0,1,4,1,1,0,1,1,0,0,0,0,84.05,333.55,0,1,0,1,0,0,0,0,0,1
3024,0,0,1,9,1,0,0,0,0,0,0,0,0,20.4,184.1,1,0,1,0,0,0,1,0,0,0
5366,0,1,1,66,1,0,1,0,0,0,1,0,1,59.75,3996.8,0,0,0,0,0,1,0,0,1,0
5960,1,0,0,62,1,1,0,0,0,0,1,0,0,84.45,4959.15,0,1,0,0,0,1,0,1,0,0
2005,0,1,1,49,1,1,0,1,0,0,1,1,0,100.45,4941.8,0,1,0,0,0,0,1,1,0,1
5422,0,1,1,68,1,0,1,1,1,1,0,0,0,62.65,4375.8,1,0,0,0,1,0,0,0,1,0
3664,0,0,0,4,1,0,0,0,0,1,0,0,1,50.8,202.3,1,0,0,0,0,0,1,0,0,0
1637,0,0,0,66,0,0,0,0,0,1,0,0,0,29.45,1983.15,1,0,0,0,1,0,0,1,0,0
1179,1,1,0,43,1,1,0,1,0,1,1,0,1,94.3,3953.15,1,1,0,0,0,1,0,0,0,0
3355,0,1,0,68,1,1,0,1,1,1,0,0,0,90.2,6297.65,0,1,0,0,1,0,0,0,1,0
323,0,1,1,9,1,0,1,0,0,0,0,0,0,48.6,422.3,0,0,0,0,0,0,1,1,0,0
6646,0,1,1,51,1,0,0,0,0,0,0,0,0,19.4,997.75,1,0,1,0,0,0,1,1,0,0
5470,1,1,0,71,1,0,0,1,1,0,0,1,0,89.45,6435.25,0,1,0,0,1,0,0,0,1,0
4736,0,1,1,56,1,1,1,1,1,1,1,0,0,81.25,4620.4,0,0,0,0,1,0,0,0,1,0
2116,0,0,0,1,1,1,0,0,1,0,0,0,0,54.35,54.35,1,0,0,0,0,1,0,0,0,1
4625,1,0,0,8,1,0,0,0,1,0,0,0,1,74.05,600.15,0,1,0,1,0,0,0,0,0,0
3827,0,0,0,2,1,0,0,0,0,0,0,0,0,20.45,34.8,0,0,1,0,0,0,1,1,0,0
470,1,0,0,17,1,0,0,0,0,0,0,0,0,20.65,330.6,0,0,1,0,0,0,1,1,0,0
3202,0,0,0,1,1,0,0,0,0,0,0,1,1,55.25,55.25,1,0,0,0,0,1,0,0,0,0
2129,0,0,0,1,1,1,0,0,0,0,0,0,1,75.3,75.3,1,1,0,0,0,1,0,0,0,1
5438,0,1,0,9,1,0,0,1,1,0,0,0,1,79.9,741.7,1,1,0,0,0,1,0,0,0,1
2040,0,1,0,71,1,1,1,1,1,1,1,1,0,90.55,6404.0,1,0,0,1,0,0,0,0,1,0
5056,0,1,1,72,1,1,1,0,1,1,1,1,0,84.7,5893.9,0,0,0,0,1,0,0,0,1,0
5930,0,0,0,72,1,1,1,0,0,1,0,0,1,84.7,6185.15,0,1,0,1,0,0,0,0,1,0
1804,0,1,1,34,1,0,0,0,0,0,0,0,0,20.65,716.4,0,0,1,0,0,0,1,0,0,0
5961,0,0,0,1,0,0,0,0,1,1,0,0,0,35.9,35.9,0,0,0,0,0,0,1,0,0,0
3169,0,1,1,52,1,0,0,1,1,1,1,0,1,68.75,3482.85,1,0,0,0,0,1,0,1,0,0
6015,0,0,0,3,1,0,1,0,0,0,0,0,1,74.55,233.65,0,1,0,0,0,1,0,0,0,0
1831,1,1,0,22,1,1,1,1,0,1,0,0,1,63.55,1381.8,0,0,0,0,0,0,1,0,0,0
147,0,0,0,1,1,0,0,0,0,0,0,0,1,45.65,45.65,1,0,0,0,0,1,0,0,0,1
6201,1,0,0,5,1,0,1,1,0,0,0,0,0,80.7,374.8,0,1,0,0,0,1,0,0,0,0
4734,0,1,1,39,1,0,1,0,1,1,1,1,0,80.0,3182.95,1,0,0,0,1,0,0,1,0,1
5337,0,0,0,20,1,0,0,0,0,1,0,0,0,50.0,1003.05,1,0,0,0,0,0,1,0,0,0
6414,0,1,1,40,1,1,0,0,0,0,0,0,0,25.25,1006.9,1,0,1,0,1,0,0,0,1,0
4069,0,1,1,68,1,0,1,0,0,1,1,1,1,99.55,6668.0,1,1,0,0,0,1,0,0,1,0
1724,0,1,0,3,1,1,0,0,0,0,1,1,0,94.9,273.2,0,1,0,0,0,1,0,0,0,0
5154,0,1,1,17,1,1,1,0,1,0,1,1,1,104.2,1743.5,0,1,0,0,0,1,0,0,0,1
4633,0,1,1,72,1,1,0,0,0,0,0,0,1,24.05,1709.15,0,0,1,1,0,0,0,0,1,0
270,1,0,0,16,1,0,0,0,0,1,1,1,1,94.45,1511.2,0,1,0,0,0,1,0,0,0,1
4995,0,0,0,7,1,1,0,0,0,0,0,0,1,75.1,552.95,0,1,0,1,0,0,0,0,0,1
3458,0,0,0,26,1,0,0,0,0,0,1,1,1,88.8,2274.35,0,1,0,1,0,0,0,0,0,1
6889,0,0,0,3,1,0,0,0,1,1,1,0,1,89.85,244.45,1,1,0,0,0,0,1,0,0,0
5432,0,0,0,2,1,0,0,0,1,1,1,1,0,76.4,160.8,0,0,0,0,0,1,0,0,0,1
3653,0,1,0,38,0,0,1,1,0,1,1,1,1,60.0,2193.2,1,0,0,1,0,0,0,0,1,0
305,0,1,1,52,1,1,0,0,0,0,0,0,0,24.8,1229.1,1,0,1,0,0,0,1,0,1,0
5361,0,0,1,4,1,0,0,0,0,0,0,0,1,20.4,84.75,0,0,1,0,0,0,1,1,0,0
4726,0,1,0,72,0,0,1,1,1,0,0,1,1,49.2,3580.95,0,0,0,0,0,1,0,0,1,0
2536,0,0,0,25,1,1,0,0,0,0,0,0,0,25.3,676.35,1,0,1,1,0,0,0,1,0,1
5581,0,1,1,68,1,1,1,1,1,1,1,1,1,113.15,7856.0,1,1,0,0,0,1,0,0,1,1
1,0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,1,0,0,0,0,0,1,1,0,0
1809,1,1,0,32,1,1,0,0,0,0,0,1,1,85.0,2642.05,1,1,0,0,0,1,0,0,0,1
3417,0,1,1,8,1,0,0,1,0,1,0,0,0,56.3,401.5,0,0,0,1,0,0,0,0,0,0
946,0,1,1,4,1,0,0,0,0,0,0,0,1,20.5,77.6,1,0,1,0,0,0,1,0,0,0
2420,0,1,1,4,0,0,1,0,0,0,1,0,0,38.55,156.1,1,0,0,0,1,0,0,0,0,0
1457,0,1,0,42,1,1,0,0,1,1,1,1,1,108.3,4586.15,1,1,0,0,0,1,0,1,0,0
632,0,1,1,72,1,1,1,1,1,1,1,1,0,89.85,6562.9,1,0,0,0,1,0,0,0,1,0
5894,0,0,0,45,1,1,0,1,0,0,1,1,1,100.85,4740.0,1,1,0,0,1,0,0,0,0,1
4962,0,1,1,17,1,0,1,1,0,0,1,1,0,74.55,1215.8,0,0,0,0,0,0,1,0,0,0
6981,0,0,0,8,1,0,0,1,0,1,1,0,1,65.45,554.45,0,0,0,0,0,1,0,0,0,0
1021,0,1,0,28,1,0,1,0,0,1,0,0,0,54.35,1426.45,1,0,0,0,0,0,1,1,0,0
5285,0,1,0,71,1,0,0,1,1,1,1,1,1,80.7,5705.05,0,0,0,0,1,0,0,0,1,0
2711,0,1,1,28,1,0,0,0,0,0,1,1,1,90.1,2598.95,0,1,0,1,0,0,0,1,0,1
4122,0,0,1,53,1,0,1,1,0,1,0,0,0,62.85,3419.5,1,0,0,0,1,0,0,1,0,0
5209,0,1,0,72,1,1,1,1,0,1,1,1,1,109.95,7852.4,1,1,0,0,1,0,0,0,1,0
6181,0,1,1,61,1,1,0,0,1,0,1,1,1,99.9,6241.35,1,1,0,0,0,1,0,1,0,0
2063,0,1,1,51,1,0,1,0,0,1,1,1,1,76.4,3966.3,1,0,0,1,0,0,0,1,0,0
3713,1,1,0,46,1,0,0,0,0,0,0,1,1,80.4,3605.2,1,1,0,0,0,1,0,0,0,1
3325,0,0,0,4,1,1,0,0,0,0,0,1,1,85.65,338.9,1,1,0,0,0,1,0,0,0,1
5125,0,1,0,11,1,1,0,0,0,0,1,1,1,94.0,1078.9,0,1,0,0,0,1,0,0,0,1
3144,0,0,0,6,1,0,0,0,0,0,0,0,0,18.95,110.15,1,0,1,0,0,0,1,0,0,0
2238,0,0,0,1,1,0,0,0,0,1,1,1,1,95.85,95.85,0,1,0,0,0,1,0,0,0,0
2864,0,0,0,4,1,0,0,1,0,1,1,0,1,63.75,226.2,1,0,0,1,0,0,0,0,0,0
1160,1,1,0,23,1,0,1,0,0,0,1,1,1,95.1,2326.05,0,1,0,0,0,1,0,0,0,0
6823,0,0,0,4,1,0,1,0,0,0,0,0,1,50.55,235.65,0,0,0,1,0,0,0,0,0,0
5444,0,1,0,45,1,1,0,1,1,0,1,1,1,107.75,4882.8,1,1,0,1,0,0,0,0,0,0
851,0,0,1,52,1,1,1,1,0,1,1,1,1,85.15,4461.85,1,0,0,0,0,0,1,0,1,0
2148,0,0,1,6,1,0,0,0,0,0,0,0,0,19.55,128.6,1,0,1,0,0,0,1,0,0,0
4829,0,0,0,12,1,0,0,0,0,0,0,0,1,45.0,524.35,0,0,0,1,0,0,0,0,0,0
6145,0,1,1,67,0,0,1,1,1,1,1,0,0,54.2,3623.95,0,0,0,0,1,0,0,0,1,0
5481,1,0,0,1,1,1,0,0,0,0,0,0,1,73.65,73.65,1,1,0,0,0,1,0,0,0,1
263,0,0,0,31,0,0,1,1,0,1,0,1,1,49.85,1520.1,0,0,0,1,0,0,0,0,1,0
3460,0,1,0,48,1,0,0,0,1,1,1,1,1,100.05,4834.0,0,1,0,0,1,0,0,0,0,0
542,0,0,0,1,1,0,0,0,0,0,0,0,0,19.55,19.55,0,0,1,0,0,0,1,0,0,0
4105,0,1,1,67,1,1,1,0,0,1,1,1,0,106.7,7009.5,0,1,0,0,1,0,0,0,1,0
3265,0,1,1,29,1,0,0,0,0,0,0,0,1,70.75,1974.8,1,1,0,0,0,1,0,0,0,1
4203,0,0,1,7,1,0,0,0,0,0,0,0,0,20.05,96.8,0,0,1,0,0,0,1,1,0,0
795,0,1,0,2,1,0,0,1,0,1,0,1,1,64.2,143.65,1,0,0,0,0,0,1,0,0,0
2121,0,0,0,1,1,0,0,0,0,0,0,0,0,20.45,20.45,1,0,1,0,0,0,1,0,0,0
620,1,1,1,10,0,0,0,0,0,0,0,1,1,34.55,362.6,1,0,0,1,0,0,0,0,0,0
2150,0,0,0,21,1,1,0,0,0,0,0,1,1,84.1,1737.45,1,1,0,0,0,1,0,0,0,0
5292,0,0,0,46,0,0,0,0,1,1,0,0,0,33.7,1537.85,1,0,0,0,1,0,0,1,0,0
6686,0,1,0,72,1,1,0,1,1,1,1,1,1,109.75,7758.9,1,1,0,0,1,0,0,0,1,0
95,0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,0,1,0,0,0,1,0,0,0,1
1521,0,0,0,37,1,1,1,1,1,1,0,0,0,67.45,2443.3,1,0,0,0,0,1,0,1,0,0
5854,0,0,0,15,1,1,0,0,0,0,0,0,1,48.8,720.1,0,0,0,0,0,0,1,0,0,0
4719,0,0,0,36,1,1,0,0,0,0,0,1,1,84.9,3067.2,1,1,0,0,0,1,0,0,0,1
6427,0,0,0,41,1,0,0,0,0,0,0,0,0,20.15,802.35,1,0,1,0,0,0,1,0,1,0
2282,1,1,1,66,1,1,0,0,1,0,1,1,1,99.5,6822.15,1,1,0,0,1,0,0,0,0,1
6960,1,1,0,42,1,1,0,1,1,0,1,0,1,95.55,3930.6,0,1,0,0,0,1,0,0,0,0
3889,0,0,0,13,1,0,0,0,0,0,0,0,0,19.3,259.65,1,0,1,0,1,0,0,1,0,0
1274,0,1,1,62,1,1,1,0,0,0,1,1,1,101.15,6638.35,0,1,0,1,0,0,0,0,1,0
4494,0,0,0,3,1,0,0,1,0,0,0,1,0,84.3,235.05,1,1,0,0,0,1,0,0,0,0
2552,0,1,0,47,1,1,0,0,0,0,0,0,0,26.9,1250.85,0,0,1,0,0,1,0,1,0,0
3686,0,0,0,13,1,1,0,0,0,0,0,0,1,75.0,999.45,0,1,0,0,0,0,1,0,0,1
3434,0,0,0,11,1,0,1,0,0,1,0,0,1,54.6,617.85,0,0,0,0,0,0,1,1,0,0
1950,0,1,0,65,1,1,0,1,0,0,1,0,1,91.85,5940.85,1,1,0,1,0,0,0,0,0,1
2989,0,0,1,1,1,0,0,0,0,0,0,0,1,19.2,19.2,1,0,1,0,0,0,1,0,0,0
2621,0,1,0,71,1,0,0,1,1,1,1,1,1,79.1,5564.85,1,0,0,0,1,0,0,0,1,0
2356,0,0,0,46,1,0,0,0,0,0,0,0,1,45.2,2065.15,1,0,0,0,1,0,0,0,0,0
1648,1,1,1,60,1,1,1,0,0,0,0,0,1,80.95,4859.1,1,1,0,0,0,1,0,0,0,0
4968,1,1,1,68,0,0,0,1,1,0,1,1,1,53.0,3656.25,0,0,0,0,0,1,0,0,1,0
2454,0,0,0,71,1,1,0,0,0,0,0,0,0,24.55,1719.15,0,0,1,0,0,1,0,0,1,0
3636,0,0,1,11,1,0,0,0,0,0,0,0,0,19.7,216.2,0,0,1,0,1,0,0,0,0,0
807,0,1,0,71,1,1,1,0,1,1,1,1,1,108.55,7616.0,1,1,0,0,1,0,0,0,1,0
3855,0,1,1,53,1,0,0,1,0,1,1,0,0,65.0,3363.8,1,0,0,0,1,0,0,0,0,0
2846,0,1,0,2,1,0,1,0,0,0,0,1,1,62.15,113.1,0,0,0,0,0,0,1,0,0,0
6294,0,0,0,1,1,0,0,0,0,0,0,0,0,19.7,19.7,1,0,1,0,0,0,1,0,0,1
4051,0,1,0,72,1,1,0,1,0,0,1,1,1,97.7,6869.7,0,1,0,0,1,0,0,0,1,0
300,0,0,0,23,1,0,0,0,0,0,1,1,1,64.9,1509.8,1,0,0,1,0,0,0,1,0,0
5,0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,0,1,0,0,0,1,0,0,0,1
2771,0,1,1,13,1,0,1,0,1,0,0,1,1,63.15,816.8,0,0,0,0,0,0,1,0,0,0
3048,0,0,0,2,1,0,0,0,0,0,0,0,0,44.45,82.7,0,0,0,0,0,1,0,0,0,0
4184,1,1,0,5,1,1,0,0,1,0,0,0,1,79.9,343.95,1,1,0,1,0,0,0,0,0,1
253,0,0,1,32,1,1,0,1,1,1,1,1,0,83.7,2633.3,1,0,0,0,1,0,0,1,0,0
2487,0,0,0,24,1,0,1,1,0,1,0,0,0,60.45,1440.75,1,0,0,1,0,0,0,0,0,0
2508,0,0,0,64,1,1,0,1,1,1,1,1,1,110.5,7069.25,0,1,0,0,1,0,0,0,1,0
2467,0,1,1,49,1,1,0,0,0,1,1,1,1,97.95,4917.9,1,1,0,0,0,1,0,1,0,0
3198,0,1,0,40,1,1,0,1,1,0,1,1,1,106.0,4178.65,1,1,0,1,0,0,0,1,0,0
2924,0,0,0,11,1,0,0,1,0,0,0,0,1,74.55,824.75,1,1,0,0,0,1,0,0,0,1
2622,1,1,1,28,1,1,0,0,0,0,0,0,1,51.0,1381.8,1,0,0,0,0,1,0,1,0,0
4825,0,0,0,22,1,1,0,0,0,0,0,1,0,83.05,1799.3,1,1,0,0,0,1,0,0,0,0
1784,0,0,0,4,1,0,0,0,0,0,0,0,0,20.35,77.5,0,0,1,0,0,0,1,0,0,1
5111,1,0,0,47,1,0,1,0,0,0,0,1,0,85.5,4042.3,1,1,0,0,0,0,1,0,0,1
6375,0,0,0,1,1,0,0,1,0,0,0,0,1,74.3,74.3,0,1,0,0,1,0,0,0,0,1
3449,0,1,1,52,1,1,0,1,1,0,1,0,1,95.7,4976.15,0,1,0,0,1,0,0,1,0,0
394,1,1,0,42,1,1,0,0,0,0,1,1,1,95.05,3944.5,0,1,0,0,0,1,0,0,0,0
2627,0,0,0,33,1,1,0,0,0,0,0,0,0,25.7,826.1,0,0,1,0,1,0,0,0,1,0
4031,0,1,0,72,1,1,0,1,1,1,1,1,1,110.45,7982.5,0,1,0,1,0,0,0,0,1,0
251,0,1,1,2,1,0,0,0,0,0,0,0,0,70.4,147.15,0,1,0,0,0,1,0,0,0,1
6023,1,0,0,51,1,0,0,0,0,0,0,0,0,19.6,967.9,0,0,1,0,1,0,0,0,1,0
4775,0,1,0,24,1,0,0,1,1,0,1,1,1,99.3,2431.35,0,1,0,0,1,0,0,0,0,1
4145,0,0,0,13,1,0,1,1,0,1,0,1,0,67.8,842.25,0,0,0,1,0,0,0,0,0,0
3178,0,1,0,52,1,0,1,0,0,0,1,0,0,84.1,4348.65,1,1,0,0,0,1,0,0,0,1
1934,0,0,0,3,1,0,1,1,0,0,0,0,1,79.1,246.5,0,1,0,0,0,1,0,0,0,1
197,0,0,0,59,1,1,0,1,1,1,1,1,1,111.35,6519.75,1,1,0,0,0,1,0,0,0,0
3288,0,1,1,13,1,0,0,0,0,0,0,0,0,20.85,272.35,0,0,1,0,0,0,1,0,1,0
4135,0,1,1,36,1,1,1,1,1,1,1,1,1,92.9,3379.25,0,0,0,0,1,0,0,0,1,0
2357,0,1,0,67,1,1,1,1,1,0,0,1,0,75.1,5064.45,0,0,0,0,0,0,1,1,0,0
4266,0,0,0,62,1,1,1,1,0,1,0,1,0,102.0,6529.25,1,1,0,0,0,1,0,1,0,1
1122,0,0,0,19,0,0,0,0,0,0,1,1,1,44.85,893.55,0,0,0,0,1,0,0,1,0,1
5026,0,1,1,23,1,0,0,0,0,0,0,0,1,20.0,445.3,1,0,1,0,1,0,0,1,0,0
2693,0,0,0,72,1,0,0,0,0,0,0,0,0,19.3,1414.8,1,0,1,1,0,0,0,0,1,0
1673,0,1,0,41,1,1,1,1,1,1,1,1,1,113.6,4594.95,0,1,0,1,0,0,0,0,0,1
324,0,0,0,69,0,0,1,1,0,1,1,1,1,60.05,4176.7,1,0,0,1,0,0,0,0,1,0
6731,0,0,0,24,1,0,0,0,0,0,0,0,1,19.55,470.2,0,0,1,1,0,0,0,0,1,0
161,0,1,0,20,1,1,1,0,0,0,0,0,0,82.4,1592.35,0,1,0,0,0,1,0,0,0,1
3554,0,0,1,7,1,0,0,0,0,0,0,0,1,71.05,472.65,0,1,0,0,0,1,0,0,0,0
